Rank	Name	Country/Region	Score	
1	Harvard University	United States	94.8	
2	University of Cambridge	United Kingdom	94.3	
3	University of Oxford	United Kingdom	93.8	
4	Stanford University	United States	92.5	
5	Massachusetts Institute of Technology	United States	91.9	
6	Johns Hopkins University	United States	91.7	
7	Princeton University	United States	91.3	
8	California Institute of Technology	United States	91.2	
9	Yale University	United States	90.1	
10	Imperial College London	United Kingdom	87.6	
11	University of Chicago	United States	87.2	
12	University of California, San Diego	United States	86.8	
13	ETH Zurich – Swiss Federal Institute of Technology Zurich	Switzerland	86.2	
14	Cornell University	United States	86.1	
15	Columbia University	United States	85.7	
16	Duke University	United States	84.8	
17	University of Pennsylvania	United States	84.6	
18	University of California, Berkeley	United States	84	
19	University of California, Los Angeles	United States	83.9	
20	Wageningen University & Research	Netherlands	83.7	
21	University of British Columbia	Canada	82.5	
22	University of Toronto	Canada	82.4	
23	University of Edinburgh	United Kingdom	81.8	
23	Peking University	China	81.8	
25	Karolinska Institute	Sweden	80.7	
26	National University of Singapore	Singapore	80.2	
27	University of Michigan	United States	79.9	
28	University of California, Davis	United States	79.6	
29	Washington University in St Louis	United States	79.2	
30	King’s College London	United Kingdom	75.6	
31	McGill University	Canada	74.7	
32	University of Melbourne	Australia	74.1	
33	École Polytechnique Fédérale de Lausanne	Switzerland	73.8	
34	Heidelberg University	Germany	72.5	
34	University of Queensland	Australia	72.5	
36	University of Tokyo	Japan	72.3	
37	Kyoto University	Japan	71.8	
38	Uppsala University	Sweden	71.2	
39	LMU Munich	Germany	71	
40	University of Wisconsin-Madison	United States	68.8	
41	University of Hong Kong	Hong Kong, China	68.5	
42	Northwestern University	United States	68.1	
43	Technical University of Munich	Germany	68	
44	Ghent University	Belgium	67.8	
45	Australian National University	Australia	67.7	
46	Lund University	Sweden	67.3	
47	University of Sydney	Australia	66.7	
48	Emory University	United States	65.7	
49	University of Glasgow	United Kingdom	65.5	
50	Humboldt University of Berlin	Germany	65.3	
51	University of Manchester	United Kingdom	65.1	
51	University of Minnesota	United States	65.1	
53	Pierre and Marie Curie University	France	64.9	
54	University of North Carolina at Chapel Hill	United States	64.8	
55	University of Dundee	United Kingdom	64.7	
55	University of Texas at Austin	United States	64.7	
57	University of California, Santa Barbara	United States	64.5	
58	Osaka University	Japan	64.3	
59	Utrecht University	Netherlands	64.2	
60	University of Göttingen	Germany	64.1	
61	University of Geneva	Switzerland	64	
62	KU Leuven	Belgium	63.6	
63	University of Helsinki	Finland	63.4	
64	University of Tübingen	Germany	63.2	
65	Stockholm University	Sweden	63.1	
66	University of Illinois at Urbana-Champaign	United States	62.6	
67	University of Lausanne	Switzerland	62.5	
68	University of Zurich	Switzerland	62.4	
69	University of Western Australia	Australia	62.2	
70	University of Freiburg	Germany	62.1	
71	University of Colorado Boulder	United States	61.9	
72	University of St Andrews	United Kingdom	61.2	
73	Pennsylvania State University	United States	60.9	
74	Michigan State University	United States	60.6	
75	Paris Sciences et Lettres – PSL Research University Paris	France	60.5	
76	University of Bristol	United Kingdom	60.4	
77	Trinity College Dublin	Ireland	60.3	
78	University of Groningen	Netherlands	60.1	
79	University of Aberdeen	United Kingdom	59.9	
80	Korea Advanced Institute of Science and Technology (KAIST)	South Korea	59.8	
81	University of Bonn	Germany	59.2	
82	University of Exeter	United Kingdom	58.6	
82	Vanderbilt University	United States	58.6	
84	University of Science and Technology of China	China	58.5	
85	Aarhus University	Denmark	58.1	
86	Hong Kong University of Science and Technology	Hong Kong, China	57.9	
87	University of Maryland, College Park	United States	57.8	
88	Free University of Berlin	Germany	57.7	
89	University of East Anglia	United Kingdom	57.5	
89	University of Leeds	United Kingdom	57.5	
91	University of Basel	Switzerland	57.4	
92	Newcastle University	United Kingdom	57.3	
93	University of New South Wales	Australia	57.2	
93	University of York	United Kingdom	57.2	
95	University of Vienna	Austria	57	
96	University of California, Riverside	United States	56.9	
97	Arizona State University	United States	56.7	
97	Monash University	Australia	56.7	
99	University of Florida	United States	56.5	
100	Brown University	United States	56.4	
101–125	University of Adelaide	Australia	53.5–56.2	
101–125	University of Alberta	Canada	53.5–56.2	
101–125	University of Birmingham	United Kingdom	53.5–56.2	
101–125	University of California, Irvine	United States	53.5–56.2	
101–125	University of California, Santa Cruz	United States	53.5–56.2	
101–125	University of Cologne	Germany	53.5–56.2	
101–125	Technical University of Denmark	Denmark	53.5–56.2	
101–125	École Polytechnique	France	53.5–56.2	
101–125	Fudan University	China	53.5–56.2	
101–125	James Cook University	Australia	53.5–56.2	
101–125	Lomonosov Moscow State University	Russian Federation	53.5–56.2	
101–125	Maastricht University	Netherlands	53.5–56.2	
101–125	McMaster University	Canada	53.5–56.2	
101–125	University of Montreal	Canada	53.5–56.2	
101–125	University of Nottingham	United Kingdom	53.5–56.2	
101–125	Ohio State University	United States	53.5–56.2	
101–125	Oregon State University	United States	53.5–56.2	
101–125	Paris-Sud University	France	53.5–56.2	
101–125	Pohang University of Science and Technology	South Korea	53.5–56.2	
101–125	Rice University	United States	53.5–56.2	
101–125	Seoul National University	South Korea	53.5–56.2	
101–125	University of Sheffield	United Kingdom	53.5–56.2	
101–125	Swedish University of Agricultural Sciences	Sweden	53.5–56.2	
101–125	TU Dresden	Germany	53.5–56.2	
101–125	University of Würzburg	Germany	53.5–56.2	
126–150	Aberystwyth University	United Kingdom	50.6–53.2	
126–150	University of Barcelona	Spain	50.6–53.2	
126–150	University of Cape Town	South Africa	50.6–53.2	
126–150	Cardiff University	United Kingdom	50.6–53.2	
126–150	Dartmouth College	United States	50.6–53.2	
126–150	Hebrew University of Jerusalem	Israel	50.6–53.2	
126–150	University of Iceland	Iceland	50.6–53.2	
126–150	Indiana University	United States	50.6–53.2	
126–150	Iowa State University	United States	50.6–53.2	
126–150	King Abdulaziz University	Saudi Arabia	50.6–53.2	
126–150	University of Konstanz	Germany	50.6–53.2	
126–150	University of Massachusetts	United States	50.6–53.2	
126–150	Nagoya University	Japan	50.6–53.2	
126–150	University of Oslo	Norway	50.6–53.2	
126–150	Queen Mary University of London	United Kingdom	50.6–53.2	
126–150	Radboud University Nijmegen	Netherlands	50.6–53.2	
126–150	University of Reading	United Kingdom	50.6–53.2	
126–150	Royal Holloway, University of London	United Kingdom	50.6–53.2	
126–150	University of São Paulo	Brazil	50.6–53.2	
126–150	Stony Brook University	United States	50.6–53.2	
126–150	University of Tartu	Estonia	50.6–53.2	
126–150	University of Tasmania	Australia	50.6–53.2	
126–150	Umeå University	Sweden	50.6–53.2	
126–150	Vrije Universiteit Amsterdam	Netherlands	50.6–53.2	
126–150	University of Warwick	United Kingdom	50.6–53.2	
126–150	Zhejiang University	China	50.6–53.2	
151–175	University of Arizona	United States	48.9–50.5	
151–175	University of Auckland	New Zealand	48.9–50.5	
