Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_CC_FAT,GO:0000786~nucleosome,25,45.45454545454545,2.539930349989952e-37,"Q6GSS7, Q8CGP0, Q64475, Q8CGP1, C0HKE4, P02301, Q8CGP2, Q64478, Q9QZQ8, Q8BFU2, P70696, Q9D2U9, Q64523, P84244, P68433, P10854, P27661, P10853, Q8CGP7, Q8CGP6, Q8CGP5, P62806, P84228, Q6ZWY9, Q64525",52,121,14413,57.2671646535283,4.6734718439815104e-35,4.6734718439815104e-35,3.140035381117784e-34
GOTERM_CC_FAT,GO:0044815~DNA packaging complex,25,45.45454545454545,9.079133900522539e-37,"Q6GSS7, Q8CGP0, Q64475, Q8CGP1, C0HKE4, P02301, Q8CGP2, Q64478, Q9QZQ8, Q8BFU2, P70696, Q9D2U9, Q64523, P84244, P68433, P10854, P27661, P10853, Q8CGP7, Q8CGP6, Q8CGP5, P62806, P84228, Q6ZWY9, Q64525",52,127,14413,54.56162931556632,1.6705606376961469e-34,8.352803188480734e-35,1.1224245451320926e-33
GOTERM_CC_FAT,GO:0032993~protein-DNA complex,26,47.27272727272727,5.4345442180187965e-34,"Q8CGP0, Q6GSS7, Q64475, Q8CGP1, Q64478, Q8CGP2, P02301, Q6PDQ2, Q9QZQ8, Q8BFU2, P70696, Q64523, P84244, Q8CGP7, P27661, Q8CGP6, Q8CGP5, P62806, P84228, Q6ZWY9, Q64525, C0HKE4, Q9D2U9, P68433, P10854, P10853",52,193,14413,37.33937823834197,9.999561361154588e-32,3.3331871203848617e-32,6.7185547528480895e-31
GOTERM_BP_FAT,GO:0034728~nucleosome organization,20,36.36363636363637,2.4325720018669646e-27,"Q6GSS7, Q8CGP0, Q64475, Q8CGP1, P02301, Q64478, Q8CGP2, Q9QZQ8, Q8BFU2, A2A8L1, P70696, Q9D2U9, P84244, P68433, P10854, P10853, P62806, P84228, Q6ZWY9, Q64525",53,143,17911,47.26481066103708,3.009091566309435e-24,3.009091566309435e-24,3.9475219185219944e-24
GOTERM_BP_FAT,GO:0006334~nucleosome assembly,18,32.72727272727273,3.8470053185587973e-25,"Q6GSS7, Q8CGP0, Q64475, Q8CGP1, P02301, Q64478, Q8CGP2, Q9QZQ8, P70696, Q9D2U9, P84244, P68433, P10854, P10853, P62806, P84228, Q6ZWY9, Q64525",53,117,17911,51.991291727140776,4.758745579057233e-22,2.3793727895286166e-22,6.242831786284803e-22
GOTERM_CC_FAT,GO:0000788~nuclear nucleosome,15,27.27272727272727,7.228770502768613e-25,"Q8CGP0, Q64475, Q8CGP1, Q8CGP2, Q64478, Q8BFU2, P70696, Q9D2U9, P84244, P68433, P10854, P10853, P84228, Q6ZWY9, Q64525",52,44,14413,94.49082167832168,1.3300937725094246e-22,3.3252344312735615e-23,8.936699835396602e-22
GOTERM_BP_FAT,GO:0006333~chromatin assembly or disassembly,19,34.54545454545455,1.2601740809015156e-24,"Q6GSS7, Q8CGP0, Q64475, Q8CGP1, P02301, Q64478, Q8CGP2, Q9QZQ8, Q8BFU2, P70696, Q9D2U9, P84244, P68433, P10854, P10853, P62806, P84228, Q6ZWY9, Q64525",53,158,17911,40.63876283735371,1.5588353380751751e-21,5.196117793583917e-22,2.0449815264231168e-21
GOTERM_CC_FAT,GO:0000785~chromatin,27,49.09090909090909,1.7258035753450194e-24,"Q6GSS7, Q8CGP0, Q64475, Q8CGP1, Q64478, Q8CGP2, P02301, Q6PDQ2, Q9QZQ8, A2A8L1, Q8BFU2, P70696, Q64523, P84244, Q8CGP7, P27661, Q8CGP6, Q8CGP5, P62806, P84228, Q6ZWY9, Q64525, C0HKE4, Q9D2U9, P68433, P10854, P10853",52,520,14413,14.39167899408284,3.175478578634836e-22,6.350957157269671e-23,2.1335562557707035e-21
GOTERM_BP_FAT,GO:0071824~protein-DNA complex subunit organization,20,36.36363636363637,2.4796936193054444e-24,"Q6GSS7, Q8CGP0, Q64475, Q8CGP1, P02301, Q64478, Q8CGP2, Q9QZQ8, Q8BFU2, A2A8L1, P70696, Q9D2U9, P84244, P68433, P10854, P10853, P62806, P84228, Q6ZWY9, Q64525",53,203,17911,33.294915884375875,3.0673810070808353e-21,7.668452517702087e-22,4.023989795950431e-21
GOTERM_BP_FAT,GO:0031497~chromatin assembly,18,32.72727272727273,5.717984515889171e-24,"Q6GSS7, Q8CGP0, Q64475, Q8CGP1, P02301, Q64478, Q8CGP2, Q9QZQ8, P70696, Q9D2U9, P84244, P68433, P10854, P10853, P62806, P84228, Q6ZWY9, Q64525",53,136,17911,44.727802441731406,7.073146846154903e-21,1.4146293692309811e-21,9.279013812918298e-21
